ID,Rating,Def_tplus1
60644,AA,0
33083,BBB,0
63830,BBB,0
84658,BBB,0
41734,BB,0
47556,AA,0
33563,A,0
81316,BB,0
38311,BB,0
46758,AA,0
57407,AAA,0
33023,CCC,0
60456,BBB,0
61773,BBB,0
34238,BB,0
42394,BBB,0
77770,B,0
53962,AA,0
76070,BB,0
35940,A,0
64412,BB,0
45144,BB,0
39806,AA,0
36993,BBB,0
44524,AAA,0
47187,BBB,0
37717,B,0
56683,BB,0
61373,A,0
47998,BBB,0
36819,BB,0
48042,BB,0
48938,AAA,0
33444,BBB,0
64750,AAA,0
62499,BB,0
34394,AA,0
83271,A,0
54289,BB,0
64231,AAA,0
62418,BB,0
33202,AAA,0
69771,BB,0
70516,BBB,0
70507,BB,0
57428,AAA,0
46473,AA,0
64906,AAA,0
35704,BB,0
67493,BB,0
60991,AAA,0
60200,A,0
71567,BB,0
52542,BB,0
46979,B,0
54879,BBB,0
51695,BB,0
70688,CCC,0
66183,A,0
45750,A,0
55700,AAA,0
73498,AA,0
81942,BB,0
45002,BBB,0
81827,BB,0
56404,BBB,0
65761,BBB,0
38265,BBB,0
73761,AAA,0
45892,AAA,0
65893,AA,0
50165,A,0
58015,BBB,0
35797,BB,0
44141,BB,0
46057,BBB,0
59071,B,0
62724,A,0
63768,BB,0
46430,AAA,0
41534,BB,0
49528,BB,0
53035,BB,1
83585,BB,0
58123,BBB,0
80779,BBB,0
46649,BBB,0
60792,B,0
69871,B,0
56013,A,0
36057,A,0
36719,CCC,1
78812,A,0
50209,BBB,0
64497,BB,0
75970,AAA,0
76914,AAA,0
73280,AAA,0
75045,A,0
61034,BB,0
81429,BB,0
76262,BBB,0
37158,CCC,0
58462,BB,0
82584,BBB,0
40862,AA,0
36743,BB,0
62626,BBB,0
33173,A,0
72065,CCC,0
48583,B,0
39014,BB,0
78566,B,0
66031,BBB,0
66137,AAA,0
59861,AAA,0
53025,AA,0
65443,AA,0
55559,AA,0
41629,BB,0
78356,AAA,0
73354,A,0
38676,AAA,0
80911,BB,0
59434,A,0
38318,AAA,0
66830,BBB,0
78765,A,0
42351,BBB,0
34087,BB,0
50786,BB,0
76358,BBB,0
68710,A,0
37164,CCC,0
49394,BBB,0
81967,AAA,0
54132,BBB,0
49464,AA,0
65583,BB,0
78301,A,0
48497,B,0
52036,BBB,0
50619,BB,0
45286,BBB,0
57740,BB,0
71345,A,0
59154,B,0
80940,BBB,0
41934,BBB,0
46720,BBB,0
47241,BBB,0
46810,AA,0
79305,B,0
49677,AA,0
35467,AAA,0
76575,BB,0
68390,A,0
55849,A,0
48513,BB,0
33277,A,0
36484,AAA,0
74649,AA,0
38193,BB,0
37571,BBB,0
65480,AAA,0
59796,BB,0
53656,AAA,0
36629,BB,0
83677,AAA,0
71250,A,0
69769,AAA,0
41223,BB,0
68743,AAA,0
34384,BB,0
75516,AA,0
73252,B,1
60092,A,0
78005,AAA,0
41469,BB,0
70605,BBB,0
61612,BBB,0
65762,BBB,0
77142,B,0
53208,AAA,0
66809,B,1
50249,BB,0
65016,A,0
43789,BBB,0
63555,A,0
37788,A,0
57512,A,0
39154,A,0
59507,CCC,0
76836,BBB,0
84567,CCC,0
48642,BB,0
84013,A,0
34028,BBB,0
82229,A,0
51106,BBB,0
72580,BBB,0
64657,AAA,0
75930,A,0
60354,A,0
48661,BB,0
34415,B,0
35264,BBB,0
76902,CCC,0
52408,BBB,0
61189,AA,0
46751,BBB,0
71352,AA,0
40512,AAA,0
85050,AA,0
57664,BB,0
35241,B,0
44831,A,0
74510,BBB,0
76825,A,0
68556,BB,0
73645,B,0
67089,AAA,0
69873,BB,0
35976,AA,0
76743,A,0
64678,BB,0
70045,AA,0
62260,AA,0
84932,BB,0
71145,BBB,0
47713,AAA,0
59485,AAA,0
59810,AAA,0
71787,BBB,0
44203,B,0
50592,BB,0
33549,AAA,0
73904,BBB,0
61050,BB,0
65864,CCC,0
77888,B,0
41085,A,0
48422,BBB,0
76138,BB,0
37822,A,0
76391,AAA,0
70134,BBB,0
48229,AAA,0
64620,BB,0
72016,BB,0
77104,BB,0
66000,AAA,0
38061,A,0
74970,B,0
68086,BBB,0
72156,AAA,0
76692,BB,0
79955,BBB,0
55828,A,0
57577,AA,0
55273,BBB,0
35104,A,0
75718,BBB,0
61040,CCC,0
59306,BBB,0
48400,BBB,0
69313,B,0
72841,A,0
51363,BBB,0
73695,BB,0
68537,BBB,0
43987,BBB,0
38298,BB,0
80876,AA,0
